username,tweetcreatedts,text,cleansing,case folding,normalisasi,tokenizing,filtering,stemming,tweet_english,Score,label_class
ketikmedia,2023-01-25 04:19:07+00:00,"Presiden RI Tegaskan Masa Jabatan Kepala Desa 6 Tahun

Sumber: https://t.co/rK3U5xhcxg | Media Kolaborasi Indonesia.
https://t.co/UbzRRouFmT

#jokowi #presiden #presidenjokowi #indonesia #kepaladesa #beritanasional #beritaindonesia #beritaindo #beritaterkini #beritaterbaru https://t.co/UeNRSR4Zjg",Presiden RI Tegaskan Masa Jabatan Kepala Desa Tahun Sumber Media Kolaborasi Indonesia,presiden ri tegaskan masa jabatan kepala desa tahun sumber media kolaborasi indonesia,presiden ri tegaskan masa jabatan kepala desa tahun sumber media kolaborasi indonesia,"['presiden', 'ri', 'tegaskan', 'masa', 'jabatan', 'kepala', 'desa', 'tahun', 'sumber', 'media', 'kolaborasi', 'indonesia']","['presiden', 'ri', 'tegaskan', 'jabatan', 'kepala', 'desa', 'sumber', 'media', 'kolaborasi', 'indonesia']","['presiden', 'ri', 'tegas', 'jabat', 'kepala', 'desa', 'sumber', 'media', 'kolaborasi', 'indonesia']","['president', 'ri', 'firm', 'position', 'head', 'village', 'source', 'media', 'collaboration', 'Indonesia']",0.0,Netral
inilahdotcom,2023-01-25 04:18:19+00:00,Asosiasi Pemerintah Desa Seluruh Indonesia (Apdesi) mengusulkan agar masa jabatan kepala desa (kades) diubah menjadi 9 tahun dan dapat diemban selama 3 periode sehingga bisa menjabat selama maksimal 27 tahun. https://t.co/ox6SeVgCfs,Asosiasi Pemerintah Desa Seluruh Indonesia Apdesi mengusulkan agar masa jabatan kepala desa kades diubah menjadi tahun dan dapat diemban selama periode sehingga bisa menjabat selama maksimal tahun,asosiasi pemerintah desa seluruh indonesia apdesi mengusulkan agar masa jabatan kepala desa kades diubah menjadi tahun dan dapat diemban selama periode sehingga bisa menjabat selama maksimal tahun,asosiasi pemerintah desa seluruh indonesia apdesi mengusulkan agar masa jabatan kepala desa kades diubah menjadi tahun dan dapat diemban selama periode sehingga bisa menjabat selama maksimal tahun,"['asosiasi', 'pemerintah', 'desa', 'seluruh', 'indonesia', 'apdesi', 'mengusulkan', 'agar', 'masa', 'jabatan', 'kepala', 'desa', 'kades', 'diubah', 'menjadi', 'tahun', 'dan', 'dapat', 'diemban', 'selama', 'periode', 'sehingga', 'bisa', 'menjabat', 'selama', 'maksimal', 'tahun']","['asosiasi', 'pemerintah', 'desa', 'indonesia', 'apdesi', 'mengusulkan', 'jabatan', 'kepala', 'desa', 'kades', 'diubah', 'diemban', 'periode', 'menjabat', 'maksimal']","['asosiasi', 'perintah', 'desa', 'indonesia', 'apdesi', 'usul', 'jabat', 'kepala', 'desa', 'kades', 'ubah', 'emban', 'periode', 'jabat', 'maksimal']","['association', 'government', 'village', 'Indonesia', 'apdesi', 'proposal', 'position', 'head', 'village', 'kades', 'change', 'emban', ' period', 'position', 'maximum']",0.0,Netral
IndonesiaRahayu,2023-01-25 04:13:34+00:00,"Terkait Masa Jabatan Kepala Desa, Presiden #Jokowi menegaskan: UU Membatasi 6 Tahun.
Presiden pun menyerahkan tindak lanjut aspirasi dari para kepala desa kepada DPR RI. 
Untuk diketahui, para kepala desa melakukan demonstrasi meminta masa jabatan bisa menjadi sembilan tahun. https://t.co/0yMpLmrqg7",Terkait Masa Jabatan Kepala Desa Presiden menegaskan UU Membatasi Tahun Presiden pun menyerahkan tindak lanjut aspirasi dari para kepala desa kepada DPR RI Untuk diketahui para kepala desa melakukan demonstrasi meminta masa jabatan bisa menjadi sembilan tahun,terkait masa jabatan kepala desa presiden menegaskan uu membatasi tahun presiden pun menyerahkan tindak lanjut aspirasi dari para kepala desa kepada dpr ri untuk diketahui para kepala desa melakukan demonstrasi meminta masa jabatan bisa menjadi sembilan tahun,terkait masa jabatan kepala desa presiden menegaskan uu membatasi tahun presiden pun menyerahkan tindak lanjut aspirasi dari para kepala desa kepada dpr ri untuk diketahui para kepala desa melakukan demonstrasi meminta masa jabatan bisa menjadi sembilan tahun,"['terkait', 'masa', 'jabatan', 'kepala', 'desa', 'presiden', 'menegaskan', 'uu', 'membatasi', 'tahun', 'presiden', 'pun', 'menyerahkan', 'tindak', 'lanjut', 'aspirasi', 'dari', 'para', 'kepala', 'desa', 'kepada', 'dpr', 'ri', 'untuk', 'diketahui', 'para', 'kepala', 'desa', 'melakukan', 'demonstrasi', 'meminta', 'masa', 'jabatan', 'bisa', 'menjadi', 'sembilan', 'tahun']","['terkait', 'jabatan', 'kepala', 'desa', 'presiden', 'uu', 'membatasi', 'presiden', 'menyerahkan', 'tindak', 'aspirasi', 'kepala', 'desa', 'dpr', 'ri', 'kepala', 'desa', 'demonstrasi', 'jabatan', 'sembilan']","['kait', 'jabat', 'kepala', 'desa', 'presiden', 'uu', 'batas', 'presiden', 'serah', 'tindak', 'aspirasi', 'kepala', 'desa', 'dpr', 'ri', 'kepala', 'desa', 'demonstrasi', 'jabat', 'sembilan']","['hook', 'title', 'head', 'village', 'president', 'uu', 'limit', 'president', 'hand over', 'act', 'aspiration', 'head', ' village', 'dpr', 'ri', 'head', 'village', 'demonstration', 'position', 'nine']",0.5574,Positif
imediacyber,2023-01-25 03:57:12+00:00,"Soal Masa Jabatan Kepala Desa, Presiden: Undang-Undang Membatasi 6 Tahun
https://t.co/NIPzqyAnnw",Soal Masa Jabatan Kepala Desa Presiden Undang Undang Membatasi Tahun,soal masa jabatan kepala desa presiden undang undang membatasi tahun,soal masa jabatan kepala desa presiden undang undang membatasi tahun,"['soal', 'masa', 'jabatan', 'kepala', 'desa', 'presiden', 'undang', 'undang', 'membatasi', 'tahun']","['jabatan', 'kepala', 'desa', 'presiden', 'undang', 'undang', 'membatasi']","['jabat', 'kepala', 'desa', 'presiden', 'undang', 'undang', 'batas']","['position', 'head', 'village', 'president', 'law', 'law', 'boundaries']",0.0,Netral
AgilZal,2023-01-25 03:50:15+00:00,"Kepala Desa Meminta Masa Jabatan 9 Tahun, Begini Respon Presiden Joko Widodo https://t.co/tijKiQqqH5",Kepala Desa Meminta Masa Jabatan Tahun Begini Respon Presiden Joko Widodo,kepala desa meminta masa jabatan tahun begini respon presiden joko widodo,kepala desa meminta masa jabatan tahun begini respon presiden joko widodo,"['kepala', 'desa', 'meminta', 'masa', 'jabatan', 'tahun', 'begini', 'respon', 'presiden', 'joko', 'widodo']","['kepala', 'desa', 'jabatan', 'respon', 'presiden', 'joko', 'widodo']","['kepala', 'desa', 'jabat', 'respon', 'presiden', 'joko', 'widodo']","['head', 'village', ' shook hands', 'response', 'president', 'joko', 'widodo']",-0.1027,Negative
83Asepesbe,2023-01-25 03:49:06+00:00,"Menteri Desa @halimiskandarnu
Masa jabatan Kepala Desa untungkan warga
https://t.co/I2LOBRPiKA",Menteri Desa Masa jabatan Kepala Desa untungkan warga,menteri desa masa jabatan kepala desa untungkan warga,menteri desa masa jabatan kepala desa untungkan warga,"['menteri', 'desa', 'masa', 'jabatan', 'kepala', 'desa', 'untungkan', 'warga']","['menteri', 'desa', 'jabatan', 'kepala', 'desa', 'untungkan', 'warga']","['menteri', 'desa', 'jabat', 'kepala', 'desa', 'untung', 'warga']","['minister', 'village', 'position', 'head', 'village', 'for', 'citizen']",0.0,Netral
Maskhay98,2023-01-25 03:46:30+00:00,"@Gmontadaro Yg nuntut masa jabatan dari 6 jadi 9 th itu kepala desa, kalo yg hri ini demo itu perangkat desa yg salah 1 tuntutannya menolak tuntutan masa jabatan kepala desa",Yg nuntut masa jabatan dari jadi th itu kepala desa kalo yg hri ini demo itu perangkat desa yg salah tuntutannya menolak tuntutan masa jabatan kepala desa,yg nuntut masa jabatan dari jadi th itu kepala desa kalo yg hri ini demo itu perangkat desa yg salah tuntutannya menolak tuntutan masa jabatan kepala desa,yang nuntut masa jabatan dari jadi tahun itu kepala desa kalo yang hari ini demo itu perangkat desa yang salah tuntutannya menolak tuntutan masa jabatan kepala desa,"['yang', 'nuntut', 'masa', 'jabatan', 'dari', 'jadi', 'tahun', 'itu', 'kepala', 'desa', 'kalo', 'yang', 'hari', 'ini', 'demo', 'itu', 'perangkat', 'desa', 'yang', 'salah', 'tuntutannya', 'menolak', 'tuntutan', 'masa', 'jabatan', 'kepala', 'desa']","['nuntut', 'jabatan', 'kepala', 'desa', 'kalo', 'demo', 'perangkat', 'desa', 'salah', 'tuntutannya', 'menolak', 'tuntutan', 'jabatan', 'kepala', 'desa']","['nuntut', 'jabat', 'kepala', 'desa', 'kalo', 'demo', 'perangkat', 'desa', 'salah', 'tuntut', 'tolak', 'tuntut', 'jabat', 'kepala', 'desa']","['demand', 'position', 'head', 'village', 'if', 'demo', 'device', 'village', 'false', 'demand', 'reject', 'demand', ' position', 'head', 'village']",-0.6369,Negative
Choliniken,2023-01-25 03:45:04+00:00,Makin kesini makin kesana.. kemarin kepala desa minta masa jabatan diperpanjang. Ini pihak kelurahan minta biaya koordinasi.. gatau deh dasarnya UU apa ada biaya koordinasi 😌😌 https://t.co/HRvUoXahV9,Makin kesini makin kesana kemarin kepala desa minta masa jabatan diperpanjang Ini pihak kelurahan minta biaya koordinasi gatau deh dasarnya UU apa ada biaya koordinasi,makin kesini makin kesana kemarin kepala desa minta masa jabatan diperpanjang ini pihak kelurahan minta biaya koordinasi gatau deh dasarnya uu apa ada biaya koordinasi,makin kesini makin kesana kemarin kepala desa meminta masa jabatan diperpanjang ini pihak kelurahan meminta biaya koordinasi enggak tau deh dasarnya uu apa ada biaya koordinasi,"['makin', 'kesini', 'makin', 'kesana', 'kemarin', 'kepala', 'desa', 'meminta', 'masa', 'jabatan', 'diperpanjang', 'ini', 'pihak', 'kelurahan', 'meminta', 'biaya', 'koordinasi', 'enggak', 'tau', 'deh', 'dasarnya', 'uu', 'apa', 'ada', 'biaya', 'koordinasi']","['kesini', 'kesana', 'kemarin', 'kepala', 'desa', 'jabatan', 'diperpanjang', 'kelurahan', 'biaya', 'koordinasi', 'tau', 'deh', 'dasarnya', 'uu', 'biaya', 'koordinasi']","['kesini', 'kesana', 'kemarin', 'kepala', 'desa', 'jabat', 'panjang', 'lurah', 'biaya', 'koordinasi', 'tau', 'deh', 'dasar', 'uu', 'biaya', 'koordinasi']","['here', 'there', 'yesterday', 'head', 'village', 'shape', 'length', 'lurah', 'cost', 'coordination', 'know', 'deh', ' basis', 'uu', 'cost', 'coordinate']",0.0,Netral
at_Frederich18,2023-01-25 03:39:42+00:00,@CNNIndonesia Harusnya ada demonstrasi #tandingan menolak perpanjangan masa jabatan Kepala Desa (#Kades)... #harusdilawan 😪 https://t.co/oPzssi8BzC,Harusnya ada demonstrasi menolak perpanjangan masa jabatan Kepala Desa,harusnya ada demonstrasi menolak perpanjangan masa jabatan kepala desa,harusnya ada demonstrasi menolak perpanjangan masa jabatan kepala desa,"['harusnya', 'ada', 'demonstrasi', 'menolak', 'perpanjangan', 'masa', 'jabatan', 'kepala', 'desa']","['demonstrasi', 'menolak', 'perpanjangan', 'jabatan', 'kepala', 'desa']","['demonstrasi', 'tolak', 'panjang', 'jabat', 'kepala', 'desa']","['demonstration', 'reject', 'long', 'shake', 'head', 'village']",-0.4588,Negative
santun62,2023-01-25 03:28:22+00:00,"Demo lagi,..tuntut perpanjangan masa jabatan kepala desa...,siapa yg bermain????",Demo lagi tuntut perpanjangan masa jabatan kepala desa siapa yg bermain,demo lagi tuntut perpanjangan masa jabatan kepala desa siapa yg bermain,demo lagi tuntut perpanjangan masa jabatan kepala desa siapa yang bermain,"['demo', 'lagi', 'tuntut', 'perpanjangan', 'masa', 'jabatan', 'kepala', 'desa', 'siapa', 'yang', 'bermain']","['demo', 'tuntut', 'perpanjangan', 'jabatan', 'kepala', 'desa', 'bermain']","['demo', 'tuntut', 'panjang', 'jabat', 'kepala', 'desa', 'main']","['demo', 'demand', 'long', 'shake', 'head', 'village', 'play']",0.0516,Positif
sekintangd99,2023-01-25 03:23:34+00:00,"@03__nakula Kepala Desa Minta Masa Jabatan Ditambah, Jokowi: Silahkan ke DPR https://t.co/kQvFjzUikd",Kepala Desa Minta Masa Jabatan Ditambah Jokowi Silahkan ke DPR,kepala desa minta masa jabatan ditambah jokowi silahkan ke dpr,kepala desa meminta masa jabatan ditambah jokowi silahkan ke dpr,"['kepala', 'desa', 'meminta', 'masa', 'jabatan', 'ditambah', 'jokowi', 'silahkan', 'ke', 'dpr']","['kepala', 'desa', 'jabatan', 'ditambah', 'jokowi', 'silahkan', 'dpr']","['kepala', 'desa', 'jabat', 'tambah', 'jokowi', 'silah', 'dpr']","['head', 'village', ' shook', 'added', 'jokowi', 'silah', 'dpr']",-0.1027,Negative
mediapilarID,2023-01-25 03:07:25+00:00,"Jokowi Tegaskan Masa Jabatan Kepala Desa Enam Tahun https://t.co/z3wKYDVA8W 

#pilarID #kepaladesa #jokowi",Jokowi Tegaskan Masa Jabatan Kepala Desa Enam Tahun,jokowi tegaskan masa jabatan kepala desa enam tahun,jokowi tegaskan masa jabatan kepala desa enam tahun,"['jokowi', 'tegaskan', 'masa', 'jabatan', 'kepala', 'desa', 'enam', 'tahun']","['jokowi', 'tegaskan', 'jabatan', 'kepala', 'desa', 'enam']","['jokowi', 'tegas', 'jabat', 'kepala', 'desa', 'enam']","['jokowi', 'firm', 'shadow', 'head', 'village', 'six']",0.0,Netral
siringo_k,2023-01-25 02:35:47+00:00,"Dukung Masa jabatan Kepala Desa 9 Tahun
#Gusmentri
@jokowi 
@LilisRitonga 
@kemendespdtt 
@tppkemendes 
@Brigade01Sumut 
@ditjenpdp 
@yusradaridesa 
@Brigade01Arwan1 https://t.co/gELQ2hYe4s",Dukung Masa jabatan Kepala Desa Tahun,dukung masa jabatan kepala desa tahun,dukung masa jabatan kepala desa tahun,"['dukung', 'masa', 'jabatan', 'kepala', 'desa', 'tahun']","['dukung', 'jabatan', 'kepala', 'desa']","['dukung', 'jabat', 'kepala', 'desa']","['support', 'position', 'head', 'village']",0.4019,Positif
gids_luigi,2023-01-25 02:16:24+00:00,"@budimandjatmiko @Fahrihamzah power tends to corrupt... menurut saya tdk ada kemendesakan untuk memperpanjang masa jabatan. kalo mau hindari gesekan di desa, sepaket aja pemilihan bupati dan kepala desa atau kepala desa diangkat oleh bupati.",power tends to corrupt menurut saya tdk ada kemendesakan untuk memperpanjang masa jabatan kalo mau hindari gesekan di desa sepaket aja pemilihan bupati dan kepala desa atau kepala desa diangkat oleh bupati,power tends to corrupt menurut saya tdk ada kemendesakan untuk memperpanjang masa jabatan kalo mau hindari gesekan di desa sepaket aja pemilihan bupati dan kepala desa atau kepala desa diangkat oleh bupati,power tends tapi corrupt menurut saya tidak ada kemendesakan untuk memperpanjang masa jabatan kalo mau hindari gesekan di desa sepaket saja pemilihan bupati dan kepala desa atau kepala desa diangkat oleh bupati,"['power', 'tends', 'tapi', 'corrupt', 'menurut', 'saya', 'tidak', 'ada', 'kemendesakan', 'untuk', 'memperpanjang', 'masa', 'jabatan', 'kalo', 'mau', 'hindari', 'gesekan', 'di', 'desa', 'sepaket', 'saja', 'pemilihan', 'bupati', 'dan', 'kepala', 'desa', 'atau', 'kepala', 'desa', 'diangkat', 'oleh', 'bupati']","['power', 'tends', 'corrupt', 'kemendesakan', 'memperpanjang', 'jabatan', 'kalo', 'hindari', 'gesekan', 'desa', 'sepaket', 'pemilihan', 'bupati', 'kepala', 'desa', 'kepala', 'desa', 'diangkat', 'bupati']","['power', 'tends', 'corrupt', 'desa', 'panjang', 'jabat', 'kalo', 'hindar', 'gesek', 'desa', 'paket', 'pilih', 'bupati', 'kepala', 'desa', 'kepala', 'desa', 'angkat', 'bupati']","['power', 'tends', 'corrupt', 'village', 'long', 'shake', 'if', 'avoid', 'swipe', 'village', 'package', 'select', ' regent', 'head', 'village', 'head', 'village', 'take', 'regent']",-0.4404,Negative
abib9,2023-01-25 02:12:10+00:00,"Penjelasan Menteri Desa sangat aktual dalam diskusi Masa jabatan Kepala Desa 9 tahun
@jokowi 
@halimiskandarnu 
@kemendesapdtt 
@malik_haramain 
@imansukri1 
@taufikmadjid71 
@yusradaridesa 
@azzameldzikrie 
@tppkemendes 
@joinsultra 
@tppisultra https://t.co/N3vfUkGQ03",Penjelasan Menteri Desa sangat aktual dalam diskusi Masa jabatan Kepala Desa tahun,penjelasan menteri desa sangat aktual dalam diskusi masa jabatan kepala desa tahun,penjelasan menteri desa sangat aktual dalam diskusi masa jabatan kepala desa tahun,"['penjelasan', 'menteri', 'desa', 'sangat', 'aktual', 'dalam', 'diskusi', 'masa', 'jabatan', 'kepala', 'desa', 'tahun']","['penjelasan', 'menteri', 'desa', 'aktual', 'diskusi', 'jabatan', 'kepala', 'desa']","['jelas', 'menteri', 'desa', 'aktual', 'diskusi', 'jabat', 'kepala', 'desa']","['obvious', 'minister', 'village', 'actual', 'discussion', 'position', 'head', 'village']",0.0,Netral
santun62,2023-01-25 02:04:16+00:00,"@GunRomli,..demo minta perpanjangan masa jabatan kepala desa,.sungguh sangat menganggu logika publik...apalagi jika benar didukung parpol.",minta perpanjangan masa jabatan kepala desa sungguh sangat menganggu logika publik apalagi jika benar didukung parpol,minta perpanjangan masa jabatan kepala desa sungguh sangat menganggu logika publik apalagi jika benar didukung parpol,meminta perpanjangan masa jabatan kepala desa sungguh sangat menganggu logika publik apalagi jika benar didukung parpol,"['meminta', 'perpanjangan', 'masa', 'jabatan', 'kepala', 'desa', 'sungguh', 'sangat', 'menganggu', 'logika', 'publik', 'apalagi', 'jika', 'benar', 'didukung', 'parpol']","['perpanjangan', 'jabatan', 'kepala', 'desa', 'sungguh', 'menganggu', 'logika', 'publik', 'didukung', 'parpol']","['panjang', 'jabat', 'kepala', 'desa', 'sungguh', 'menganggu', 'logika', 'publik', 'dukung', 'parpol']","['long', 'position', 'head', 'village', 'really', 'disturbing', 'logic', 'public', 'support', 'political party']",0.204,Positif
Paijullomen,2023-01-25 01:56:40+00:00,Kepala desa butuh masa jabatan lebih lama buat balik modal kali ya. Heran masih kurang aja udah dikasih waktu lama 💩,Kepala desa butuh masa jabatan lebih lama buat balik modal kali ya Heran masih kurang aja udah dikasih waktu lama,kepala desa butuh masa jabatan lebih lama buat balik modal kali ya heran masih kurang aja udah dikasih waktu lama,kepala desa butuh masa jabatan lebih lama buat balik modal kali ya heran masih kurang saja sudah dikasih waktu lama,"['kepala', 'desa', 'butuh', 'masa', 'jabatan', 'lebih', 'lama', 'buat', 'balik', 'modal', 'kali', 'ya', 'heran', 'masih', 'kurang', 'saja', 'sudah', 'dikasih', 'waktu', 'lama']","['kepala', 'desa', 'butuh', 'jabatan', 'modal', 'kali', 'ya', 'heran', 'dikasih']","['kepala', 'desa', 'butuh', 'jabat', 'modal', 'kali', 'ya', 'heran', 'kasih']","['head', 'village', 'need', 'position', 'capital', 'time', 'yes', 'surprise', 'love']",0.8402,Positif
jho_kapitan,2023-01-25 01:55:41+00:00,Benarkah Gaji dan Tunjangan Kepala Desa Naik Ditengah Wacana Perpanjangan masa Jabatan  Cek Disini   https://t.co/w2Nyn9h3sB,Benarkah Gaji dan Tunjangan Kepala Desa Naik Ditengah Wacana Perpanjangan masa Jabatan Cek Disini,benarkah gaji dan tunjangan kepala desa naik ditengah wacana perpanjangan masa jabatan cek disini,benarkah gaji dan tunjangan kepala desa naik ditengah wacana perpanjangan masa jabatan cek disini,"['benarkah', 'gaji', 'dan', 'tunjangan', 'kepala', 'desa', 'naik', 'ditengah', 'wacana', 'perpanjangan', 'masa', 'jabatan', 'cek', 'disini']","['gaji', 'tunjangan', 'kepala', 'desa', 'ditengah', 'wacana', 'perpanjangan', 'jabatan', 'cek']","['gaji', 'tunjang', 'kepala', 'desa', 'tengah', 'wacana', 'panjang', 'jabat', 'cek']","['pay', 'pillar', 'head', 'village', 'middle', 'discourse', 'long', 'department', 'check']",-0.1027,Negative
celepik,2023-01-25 01:51:17+00:00,"Terkait Masa Jabatan Kepala Desa, Presiden @Jokowi: Undang-Undang Membatasi 6 Tahun

Read more: https://t.co/zQwVQgwock https://t.co/Ld2nEktMOR",Terkait Masa Jabatan Kepala Desa Presiden Undang Undang Membatasi Tahun Read more,terkait masa jabatan kepala desa presiden undang undang membatasi tahun read more,terkait masa jabatan kepala desa presiden undang undang membatasi tahun read more,"['terkait', 'masa', 'jabatan', 'kepala', 'desa', 'presiden', 'undang', 'undang', 'membatasi', 'tahun', 'read', 'more']","['terkait', 'jabatan', 'kepala', 'desa', 'presiden', 'undang', 'undang', 'membatasi', 'read', 'more']","['kait', 'jabat', 'kepala', 'desa', 'presiden', 'undang', 'undang', 'batas', 'read', 'more']","['kait', 'title', 'head', 'village', 'president', 'invite', 'invite', 'limit', 'read', 'more']",0.296,Positif
haloindonesia88,2023-01-25 01:48:04+00:00,"Jakarta, https://t.co/wKgHpxyppM - Presiden Joko Widodo menegaskan bahwa Undang-Undang Nomor 6 Tahun 2014 tentang Desa telah mengatur masa jabatan kepala desa selama enam tahun dan selama tiga periode. Penegasan tersebut disampaikan Kepala Negara saat

https://t.co/rYwaHeUg5z https://t.co/4KLAb2NGJJ",Jakarta Presiden Joko Widodo menegaskan bahwa Undang Undang Nomor Tahun tentang Desa telah mengatur masa jabatan kepala desa selama enam tahun dan selama tiga periode Penegasan tersebut disampaikan Kepala Negara saat,jakarta presiden joko widodo menegaskan bahwa undang undang nomor tahun tentang desa telah mengatur masa jabatan kepala desa selama enam tahun dan selama tiga periode penegasan tersebut disampaikan kepala negara saat,jakarta presiden joko widodo menegaskan bahwa undang undang nomor tahun tentang desa telah mengatur masa jabatan kepala desa selama enam tahun dan selama tiga periode penegasan tersebut disampaikan kepala negara saat,"['jakarta', 'presiden', 'joko', 'widodo', 'menegaskan', 'bahwa', 'undang', 'undang', 'nomor', 'tahun', 'tentang', 'desa', 'telah', 'mengatur', 'masa', 'jabatan', 'kepala', 'desa', 'selama', 'enam', 'tahun', 'dan', 'selama', 'tiga', 'periode', 'penegasan', 'tersebut', 'disampaikan', 'kepala', 'negara', 'saat']","['jakarta', 'presiden', 'joko', 'widodo', 'undang', 'undang', 'nomor', 'desa', 'mengatur', 'jabatan', 'kepala', 'desa', 'enam', 'periode', 'penegasan', 'kepala', 'negara']","['jakarta', 'presiden', 'joko', 'widodo', 'undang', 'undang', 'nomor', 'desa', 'atur', 'jabat', 'kepala', 'desa', 'enam', 'periode', 'tegas', 'kepala', 'negara']","['jakarta', 'president', 'joko', 'widodo', 'invite', 'invite', 'number', 'village', 'arrange', 'position', 'head', 'village', ' six', 'period', 'firm', 'head', 'country']",0.3612,Positif
CintaNKRI170845,2023-01-25 01:46:50+00:00,Jelas Drun? Jadi masa jabatan Kepala Desa sesuai UU masih 6 tahun bukan 9 tahun...jangan suka berkhayal Drun https://t.co/LRFoXOuAdJ,Jelas Drun Jadi masa jabatan Kepala Desa sesuai UU masih tahun bukan tahun jangan suka berkhayal Drun,jelas drun jadi masa jabatan kepala desa sesuai uu masih tahun bukan tahun jangan suka berkhayal drun,jelas drun jadi masa jabatan kepala desa sesuai uu masih tahun bukan tahun jangan suka berkhayal drun,"['jelas', 'drun', 'jadi', 'masa', 'jabatan', 'kepala', 'desa', 'sesuai', 'uu', 'masih', 'tahun', 'bukan', 'tahun', 'jangan', 'suka', 'berkhayal', 'drun']","['drun', 'jabatan', 'kepala', 'desa', 'sesuai', 'uu', 'suka', 'berkhayal', 'drun']","['drun', 'jabat', 'kepala', 'desa', 'sesuai', 'uu', 'suka', 'khayal', 'drun']","['drum', 'jabat', 'kepala', 'desa', 'sesuai', 'uu', 'suka', 'khayal', 'drum']",0.0,Netral
widisaja89,2023-01-25 01:46:05+00:00,"Terkait masa jabatan kepala desa, Presiden menyebut perpanjangan masa jabatan tersebut merupakan aspirasi para kepala desa. Ia pun mempersilakan para kepala desa untuk menyampaikan aspirasi tersebut kepada DPR. https://t.co/rW4JaNOTo6",Terkait masa jabatan kepala desa Presiden menyebut perpanjangan masa jabatan tersebut merupakan aspirasi para kepala desa Ia pun mempersilakan para kepala desa untuk menyampaikan aspirasi tersebut kepada DPR,terkait masa jabatan kepala desa presiden menyebut perpanjangan masa jabatan tersebut merupakan aspirasi para kepala desa ia pun mempersilakan para kepala desa untuk menyampaikan aspirasi tersebut kepada dpr,terkait masa jabatan kepala desa presiden menyebut perpanjangan masa jabatan tersebut merupakan aspirasi para kepala desa ia pun mempersilakan para kepala desa untuk menyampaikan aspirasi tersebut kepada dpr,"['terkait', 'masa', 'jabatan', 'kepala', 'desa', 'presiden', 'menyebut', 'perpanjangan', 'masa', 'jabatan', 'tersebut', 'merupakan', 'aspirasi', 'para', 'kepala', 'desa', 'ia', 'pun', 'mempersilakan', 'para', 'kepala', 'desa', 'untuk', 'menyampaikan', 'aspirasi', 'tersebut', 'kepada', 'dpr']","['terkait', 'jabatan', 'kepala', 'desa', 'presiden', 'menyebut', 'perpanjangan', 'jabatan', 'aspirasi', 'kepala', 'desa', 'mempersilakan', 'kepala', 'desa', 'aspirasi', 'dpr']","['kait', 'jabat', 'kepala', 'desa', 'presiden', 'sebut', 'panjang', 'jabat', 'aspirasi', 'kepala', 'desa', 'sila', 'kepala', 'desa', 'aspirasi', 'dpr']","['kait', 'position', 'head', 'village', 'president', 'call', 'long', 'position', 'aspiration', 'head', 'village', 'sila', ' head', 'village', 'aspiration', 'dpr']",0.0,Netral
firdauserwan,2023-01-25 01:40:41+00:00,"Gag sampe kayanya nih mikir.. masa cuman 27 tahun.. 102 tahun sekalian lebih bagus kayanya..

Apdesi Minta Masa Jabatan Kepala Desa Bisa Sampai 27 Tahun https://t.co/t1ajhpc79M",Gag sampe kayanya nih mikir masa cuman tahun tahun sekalian lebih bagus kayanya Apdesi Minta Masa Jabatan Kepala Desa Bisa Sampai Tahun,gag sampe kayanya nih mikir masa cuman tahun tahun sekalian lebih bagus kayanya apdesi minta masa jabatan kepala desa bisa sampai tahun,enggak sampai kayanya nih mikir masa cuman tahun tahun sekalian lebih bagus kayanya apdesi meminta masa jabatan kepala desa bisa sampai tahun,"['enggak', 'sampai', 'kayanya', 'nih', 'mikir', 'masa', 'cuman', 'tahun', 'tahun', 'sekalian', 'lebih', 'bagus', 'kayanya', 'apdesi', 'meminta', 'masa', 'jabatan', 'kepala', 'desa', 'bisa', 'sampai', 'tahun']","['kayanya', 'nih', 'mikir', 'cuman', 'bagus', 'kayanya', 'apdesi', 'jabatan', 'kepala', 'desa']","['kaya', 'nih', 'mikir', 'cuman', 'bagus', 'kaya', 'apdesi', 'jabat', 'kepala', 'desa']","['rich', 'here', 'think', 'only', 'good', 'rich', 'apdesi', 'position', 'head', 'village']",0.8779,Positif
